state
Alabama - 9 votes
Alaska - 3 votes
Arizona - 11 votes
Arkansas - 6 votes
California - 54 votes
Colorado - 10 votes
Connecticut - 7 votes
Delaware - 3 votes
District of Columbia - 3 votes
Florida - 30 votes
Georgia - 16 votes
Hawaii - 4 votes
Idaho - 4 votes
Illinois - 19 votes
Indiana - 11 votes
Iowa - 6 votes
Kansas - 6 votes
Kentucky - 8 votes
Louisiana - 8 votes
Maine - 4 votes
Maryland - 10 votes
Massachusetts - 11 votes
Michigan - 15 votes
Minnesota - 10 votes
Mississippi - 6 votes
Missouri - 10 votes
Montana - 4 votes
Nebraska - 5 votes
Nevada - 6 votes
New Hampshire - 4 votes
New Jersey - 14 votes
New Mexico - 5 votes
New York - 28 votes
North Carolina - 16 votes
North Dakota - 3 votes
Ohio - 17 votes
Oklahoma - 7 votes
Oregon - 8 votes
Pennsylvania - 19 votes
Rhode Island - 4 votes
South Carolina - 9 votes
South Dakota - 3 votes
Tennessee - 11 votes
Texas - 40 votes
Utah - 6 votes
Vermont - 3 votes
Virginia - 13 votes
Washington - 12 votes
West Virginia - 4 votes
Wisconsin - 10 votes
Wyoming - 3 votes
